Time,SplitterEmitCounter,Label
0,589807,counter
1000,1710927,counter
2000,3414402,counter
3000,5395313,counter
4000,7212655,counter
5000,8898384,counter
6000,10479849,counter
7000,12068106,counter
8000,13612028,counter
9000,15214405,counter
10000,16822331,counter
11000,18281129,counter
12000,19511453,counter
13000,20399657,counter
14000,21263677,counter
15000,22053636,counter
16000,22878872,counter
17000,23529189,counter
18000,24250473,counter
19000,25143003,counter
20000,26078457,counter
21000,26965500,counter
22000,27837870,counter
23000,28764932,counter
24000,29719323,counter
25000,30600520,counter
26000,31480673,counter
27000,32274534,counter
28000,33048908,counter
29000,33800534,counter
30000,34512048,counter
31000,35280326,counter
32000,36063330,counter
33000,36888551,counter
34000,37700916,counter
35000,38477976,counter
36000,39234198,counter
37000,39891893,counter
38000,40610701,counter
39000,41442417,counter
40000,42357895,counter
41000,43370749,counter
42000,44410284,counter
43000,45318948,counter
44000,46274490,counter
45000,47198521,counter
46000,48142000,counter
47000,49032461,counter
48000,50001154,counter
49000,51025604,counter
50000,51979634,counter
51000,52833951,counter
52000,53705576,counter
53000,54637446,counter
54000,55617247,counter
55000,56568772,counter
56000,57388133,counter
57000,58342367,counter
58000,59327246,counter
59000,60359048,counter
60000,61200894,counter
61000,62151160,counter
62000,63261237,counter
63000,64249461,counter
64000,65264468,counter
65000,66247202,counter
66000,67188567,counter
67000,68079140,counter
68000,68964320,counter
69000,69862038,counter
70000,70684562,counter
71000,71563243,counter
72000,72712118,counter
73000,73874704,counter
74000,74926013,counter
75000,75884878,counter
76000,76702237,counter
77000,77515343,counter
78000,78374889,counter
79000,79288018,counter
80000,80276749,counter
81000,81172928,counter
82000,82117472,counter
83000,83012143,counter
84000,83912793,counter
85000,84790052,counter
86000,85698688,counter
87000,86576663,counter
88000,87472725,counter
89000,88424880,counter
90000,89416117,counter
91000,90341741,counter
92000,91149648,counter
93000,91964803,counter
94000,92825988,counter
95000,93935130,counter
96000,95046737,counter
97000,96075223,counter
98000,97011085,counter
99000,97915531,counter
100000,98799716,counter
101000,99641999,counter
102000,100474035,counter
103000,101209698,counter
104000,102084391,counter
105000,102922685,counter
106000,103788691,counter
107000,104691627,counter
108000,105527840,counter
109000,106382131,counter
110000,107348021,counter
111000,108240231,counter
112000,108995512,counter
113000,109719750,counter
114000,110553566,counter
115000,111485060,counter
116000,112483665,counter
117000,113459749,counter
118000,114490657,counter
119000,115428502,counter
120000,116434928,counter
121000,117417503,counter
122000,118414846,counter
123000,119349667,counter
124000,120298435,counter
125000,121249851,counter
126000,122163711,counter
127000,123134044,counter
128000,124109585,counter
129000,125068779,counter
130000,126007022,counter
131000,126915937,counter
132000,127806769,counter
133000,128583688,counter
134000,129328921,counter
135000,130006057,counter
136000,130777062,counter
137000,131645766,counter
138000,132572024,counter
139000,133534690,counter
140000,134405260,counter
141000,135312633,counter
142000,136256520,counter
143000,137215483,counter
144000,138253379,counter
145000,139286492,counter
146000,140219274,counter
147000,141065311,counter
148000,141936039,counter
149000,142880161,counter
150000,143859312,counter
151000,144813226,counter
152000,145766824,counter
153000,146717673,counter
154000,147722059,counter
155000,148564003,counter
156000,149320376,counter
157000,150121805,counter
158000,150996085,counter
159000,151878516,counter
160000,152808602,counter
161000,153752173,counter
162000,154652749,counter
163000,155537731,counter
164000,156344168,counter
165000,157226378,counter
166000,158227873,counter
167000,159150213,counter
168000,160044035,counter
169000,160890447,counter
170000,161836817,counter
171000,162905118,counter
172000,163940557,counter
173000,164999467,counter
174000,166048325,counter
175000,167052967,counter
176000,167932969,counter
177000,168860485,counter
178000,169785859,counter
179000,170682929,counter
180000,171570397,counter
181000,172426074,counter
182000,173293007,counter
