Time,pc,Label
0,857,counter
1000,6928,counter
2000,18613,counter
3000,28009,counter
4000,38697,counter
5000,54247,counter
6000,71138,counter
7000,84568,counter
8000,97181,counter
9000,113802,counter
10000,136258,counter
11000,164520,counter
12000,210999,counter
13000,270786,counter
14000,350030,counter
15000,459665,counter
16000,600254,counter
17000,760535,counter
18000,877543,counter
19000,1019265,counter
20000,1184837,counter
21000,1387997,counter
22000,1608041,counter
23000,1834618,counter
24000,2061512,counter
25000,2289882,counter
26000,2492051,counter
27000,2668188,counter
28000,2856722,counter
29000,3057519,counter
30000,3274035,counter
31000,3496124,counter
32000,3713617,counter
33000,3917437,counter
34000,4133024,counter
35000,4358143,counter
36000,4602988,counter
37000,4850520,counter
38000,5067401,counter
39000,5294739,counter
40000,5502830,counter
41000,5723004,counter
42000,5955254,counter
43000,6196435,counter
44000,6438682,counter
45000,6661589,counter
46000,6878562,counter
47000,7094354,counter
48000,7312822,counter
49000,7554992,counter
50000,7779854,counter
51000,8010144,counter
52000,8221951,counter
53000,8441375,counter
54000,8657476,counter
55000,8871323,counter
56000,9089555,counter
57000,9282787,counter
58000,9503377,counter
59000,9732997,counter
60000,9880812,counter
61000,9976741,counter
62000,10189387,counter
63000,10370264,counter
64000,10556249,counter
65000,10764780,counter
66000,10983302,counter
67000,11227737,counter
68000,11484695,counter
69000,11745527,counter
70000,12017195,counter
71000,12256282,counter
72000,12509652,counter
73000,12766040,counter
74000,13018769,counter
75000,13235269,counter
76000,13396848,counter
77000,13567895,counter
78000,13762988,counter
79000,14001721,counter
80000,14256445,counter
81000,14503190,counter
82000,14724155,counter
83000,14992125,counter
84000,15247238,counter
85000,15482765,counter
86000,15703715,counter
87000,15928331,counter
88000,16149774,counter
89000,16361845,counter
90000,16563651,counter
91000,16816744,counter
92000,17059307,counter
93000,17277581,counter
94000,17443579,counter
95000,17573054,counter
96000,17750048,counter
97000,17978322,counter
98000,18234862,counter
99000,18500637,counter
100000,18754168,counter
101000,18983335,counter
102000,19214127,counter
103000,19466667,counter
104000,19722938,counter
105000,19974795,counter
106000,20220011,counter
107000,20459527,counter
108000,20631165,counter
109000,20828688,counter
110000,21077370,counter
111000,21331781,counter
112000,21550320,counter
113000,21722428,counter
114000,21900359,counter
115000,22063738,counter
116000,22225608,counter
117000,22417411,counter
118000,22640009,counter
119000,22838633,counter
120000,23064080,counter
121000,23316749,counter
122000,23556178,counter
123000,23776472,counter
124000,23995036,counter
125000,24206666,counter
126000,24453923,counter
127000,24691305,counter
128000,24925969,counter
129000,25119769,counter
130000,25330548,counter
131000,25556405,counter
132000,25799968,counter
133000,26037523,counter
134000,26274037,counter
135000,26509505,counter
136000,26740018,counter
137000,26947996,counter
138000,27141850,counter
139000,27331128,counter
140000,27485624,counter
141000,27615526,counter
142000,27753014,counter
143000,27943333,counter
144000,28169537,counter
145000,28408377,counter
146000,28652186,counter
147000,28886977,counter
148000,29121948,counter
149000,29357568,counter
150000,29585312,counter
151000,29803928,counter
152000,30011089,counter
153000,30192233,counter
154000,30381466,counter
155000,30551272,counter
156000,30727521,counter
157000,30921320,counter
158000,31145316,counter
159000,31367165,counter
160000,31586612,counter
161000,31791200,counter
162000,31981560,counter
163000,32178320,counter
164000,32381006,counter
165000,32605686,counter
166000,32793557,counter
167000,32969309,counter
168000,33152506,counter
169000,33339512,counter
170000,33501782,counter
171000,33650026,counter
172000,33797350,counter
173000,33947129,counter
174000,34117566,counter
175000,34309474,counter
176000,34525950,counter
177000,34753737,counter
178000,34984078,counter
179000,35215226,counter
180000,35435648,counter
181000,35659951,counter
182000,35872774,counter
183000,36096934,counter
